Sample,Sample_Date,Product,Test,Result,UOM,Plant
11,10/4/2022,Meal 1,Peroxide,7.26,MEQ/kg,Plant 4
12,10/4/2022,Meal 1,Peroxide,4.66,MEQ/kg,Plant 4
372,10/4/2022,Meal 1,Ash,9.01,%,Plant 2
372,10/4/2022,Meal 1,Fat,15.66,%,Plant 2
372,10/4/2022,Meal 1,Moisture,3.97,%,Plant 2
372,10/4/2022,Meal 1,Protein,67.64,%,Plant 2
373,10/4/2022,Meal 1,Ash,10.63,%,Plant 2
373,10/4/2022,Meal 1,Fat,14.93,%,Plant 2
373,10/4/2022,Meal 1,Moisture,3.48,%,Plant 2
373,10/4/2022,Meal 1,Protein,66.83,%,Plant 2
374,10/4/2022,Meal 2,Protein,67,%,Plant 2
374,10/4/2022,Meal 2,Ash,11.04,%,Plant 2
374,10/4/2022,Meal 2,Fat,15.63,%,Plant 2
374,10/4/2022,Meal 2,Moisture,4.18,%,Plant 2
374,10/4/2022,Meal 2,Protein,65.5,%,Plant 2
375,10/4/2022,Meal 2,Protein,66.88,%,Plant 2
375,10/4/2022,Meal 2,Ash,9.74,%,Plant 2
375,10/4/2022,Meal 2,Fat,16.03,%,Plant 2
375,10/4/2022,Meal 2,Moisture,4.63,%,Plant 2
375,10/4/2022,Meal 2,Protein,65.56,%,Plant 2
376,10/4/2022,Meal 2,Ash,10.55,%,Plant 2
376,10/4/2022,Meal 2,Fat,15.33,%,Plant 2
376,10/4/2022,Meal 2,Moisture,4.48,%,Plant 2
376,10/4/2022,Meal 2,Protein,68.53,%,Plant 2
377,10/4/2022,Meal 2,Ash,11.23,%,Plant 2
377,10/4/2022,Meal 2,Fat,14.99,%,Plant 2
377,10/4/2022,Meal 2,Moisture,3.6,%,Plant 2
377,10/4/2022,Meal 2,Protein,67.66,%,Plant 2
378,10/4/2022,Meal 2,Ash,10.18,%,Plant 2
378,10/4/2022,Meal 2,Fat,15.94,%,Plant 2
378,10/4/2022,Meal 2,Moisture,3.8,%,Plant 2
378,10/4/2022,Meal 2,Protein,66.24,%,Plant 2
379,10/4/2022,Meal 1,Ash,12.03,%,Plant 2
379,10/4/2022,Meal 1,Fat,14.43,%,Plant 2
379,10/4/2022,Meal 1,Moisture,3.81,%,Plant 2
379,10/4/2022,Meal 1,Protein,66.86,%,Plant 2
380,10/4/2022,Meal 1,Ash,10.57,%,Plant 2
380,10/4/2022,Meal 1,Fat,15.28,%,Plant 2
